UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Defund The Police | Black Lives Matter,@SoupcanSteffans,2020-11-09T19:52:42.000Z,"Replying to 
@daveanthony
 and 
@davideryuI don't recall, what's the apology for?",,,,1
People's City Council - Los Angeles,@PplsCityCouncil,2020-11-09T19:42:06.000Z,"Replying to 
@daveanthony
 and 
@davideryuRT",,,,
m w bowman,@mbowman,2020-11-09T19:36:59.000Z,"Replying to 
@daveanthony
 and 
@davideryuhe hasn't tweeted since the day of the election lmao",,,,6
Jamie,@jamiejuno505050,2020-11-09T15:31:27.000Z,"Replying to 
@CountyofLA
 and 
@davideryuI'm so glad you're out!!",,,,
ig Simpin,@gr0verlord,2020-11-09T05:00:25.000Z,"Hey 
@davideryu
 you and your team are racist pieces of sh*t. How dare you initiate voter contact assuming that I, an American-born English speaking citizen of mixed ethnicity immigrant descent, speak solely Spanish by sending this text message.",🅱,1,,
TYCOONOFNEWS,@tycoonofnews,2020-11-09T04:16:48.000Z,"Replying to 
@kdeleon
 @mridleythomas
 and 
@MRTempowerLift up all angelenos 
 you mean lift up some angelenos 
@CD6Nury
 @MayorOfLA
 @MitchOFarrell
 @davideryu
 @nithyavraman
 @CD6Nury
 @cmgilcedillo
 @JoeBuscaino
 @MRodCD7
 @PaulKrekorian
 @CD12LA
 @CurrenDPriceJr
 @BobBlumenfield",🤡 😂,,,
Jeremiah Christopher,@JeremiahC,2020-11-08T04:30:26.000Z,"Replying to 
@TonyFisch
 @nytimes
 and 
@AsteadWesleyand BYE BYE 
@davideryu",,,,
Absurdist,@Absurdist8,2020-11-07T10:08:27.000Z,"Replying to 
@poppyflower661
 and 
@davideryuLandlords aren’t the working class.",,,,
Collin Baker,@CollinBaker,2020-11-07T09:15:17.000Z,".
@davideryu
  lmao change that bio, dog",,,1,7
Brandedcandy,@brandedcandy,2020-11-07T06:50:02.000Z,"Replying to 
@davideryuDevastated!!!!!",,,,
Gina Viola she/her,@GinaViolaPeake,2020-11-07T06:32:02.000Z,"Replying to 
@AdamOfTheSmiths
 @davideryu
 and 
@JackieLaceyDANeed room for Lacey!",,,,2
Marissa Cui,@mar_ss___i,2020-11-07T05:34:10.000Z,"Replying to 
@coralhugger
 and 
@davideryu",😂,,,3
Part Of Sherman Oaks,@POSOtweet,2020-11-07T04:55:54.000Z,"This is the best news we've received in the last 5 years! Congrats 
@nithyavraman
 on defeating 
@davideryu
 for #CD4. Welcome - We look forward to working with you in the valley. 
#shermanoaks #LosAngeles #valleyvillage #election #nithyaraman #davidryuUrban planner Nithya Raman unseats Los Angeles City Councilman David Ryu
Raman's victory marks the first time in 17 years that a challenger has ousted a sitting Los Angeles City Council member.
latimes.com",,,2,8
Chris McKee,@Ragcha,2020-11-07T04:51:03.000Z,"Replying to 
@euromaestro
 and 
@DrEricDing@GavinNewsom
 @MayorOfLA
 @SheilaKuehl
 @davideryu
 @RichardBloom
 Please follow Australia’s example and shut Covid down in CA. ",💙 💙,,,1
Another Adam Smith,@AdamOfTheSmiths,2020-11-07T04:28:31.000Z,"The problem with writing songs for public comment is that they can age quickly. Like they didn’t end up voting on 41.18 amendments last week. That said, most of this song is still true, except 
@davideryu
 knows what happened on Tuesday. (He lost FYI!)4 a Day a’Dyin’
Los Angeles government officials continue to leverage a pandemic to introduce pass/approve draconians laws/measures/expansions of state power and stifling pu...
youtube.com",,,1,2
steve ducey,@SteveDucey,2020-11-07T04:23:43.000Z,"Replying to 
@AdamOfTheSmiths
 and 
@davideryuhire me for your cushy consultancy, i will tell all",,,,4
Another Adam Smith,@AdamOfTheSmiths,2020-11-07T04:20:41.000Z,"Replying to 
@SteveDucey(cc: 
@davideryu
)",,1,,2
Kira Durbin,@KiraDurbin,2020-11-07T04:09:19.000Z,"THANK YOU 
@davideryu
 for the incredible work you did for #lacity and all the things you fought for and accomplished. I hope you continue to work in #publicservice as I know that you TRULY care about people like me #homeless #lowincome #affordablehousing #disabled #Veterans ",💝 💝 💝,,1,1
Another Adam Smith,@AdamOfTheSmiths,2020-11-07T04:08:53.000Z,"Replying to 
@RedwoodGirl
 @PplsCityCouncil
 and 2 othersIt’s really invigorating!",,,,2
World Series Champion Boots,@BootsMcGuinness,2020-11-07T04:08:52.000Z,"Go fuck yourself 
@davideryuLos Angeles Times
@latimes
 · Nov 6
Breaking: Urban planner Nithya Raman unseats L.A. City Councilman David Ryu https://latimes.com/california/story/2020-11-06/raman-victory-city-council-david-ryu…",,,,2
Original Zoltan Supports Unions,@ZoltanOlgyay,2020-11-07T03:15:28.000Z,"Replying to 
@UnrigLA
 @DavidZahniser
 and 
@davideryu",,,,
Taquito,@geenadavisdaddy,2020-11-07T03:09:11.000Z,"Replying to 
@davideryuEnjoy life with the GOP!",,,,1
KatherineTattersfiel,@CaliCre8ive,2020-11-07T02:51:45.000Z,"Apparently he finally conceded shortly before I tweeted this. Leaving it up because fuck 
@davideryu",,,,4
Unrig LA,@UnrigLA,2020-11-07T02:46:40.000Z,"Replying to 
@UnrigLA
 @DavidZahniser
 and 
@davideryuDoesn’t mention her by name at all through the entire statement",,2,2,19
KatherineTattersfiel,@CaliCre8ive,2020-11-07T02:29:25.000Z,".
@davideryu
 waiting for your concession likeGIF",,1,,5
Another Adam Smith,@AdamOfTheSmiths,2020-11-07T02:27:09.000Z,"Replying to 
@SteveDucey
 and 
@davidryu4uHe deleted his account!? (Cc: 
@davideryu
)",,,,1
Problematic Flav,@CodyFromAcme,2020-11-07T02:25:45.000Z,"Replying to 
@estarianne
 @PplsCityCouncil
 and 2 othersIf you still want to bully him, his 
@davideryu
 account is still up. It's his verified account and you know he won't give up that blue check",,,,1
Keenan Buchanan,@Keenan_Buchanan,2020-11-07T01:59:53.000Z,"Replying to 
@PplsCityCouncil
 and 
@davidryu4uHe can still be trolled at 
@davideryu",,,,4
Matt Cohen,@CamelToad,2020-11-07T01:52:35.000Z,"Replying to 
@PplsCityCouncil
 and 
@davidryu4uNah he's still here 
@davideryu
 , saying absolutely nothing as usual",,,,
NO Feuer for Mayor,@HoltkeLisa,2020-11-07T01:51:28.000Z,"Replying to 
@jessezwick
 @calexity
 and 
@davideryuUrban Planner ",☠ 😁,,,2
alex crow,@alexistential,2020-11-07T01:49:38.000Z,"Replying to 
@jessezwick
 and 
@davideryusuch perfidious red-baiting smh",,,,2
Lex Roman,@calexity,2020-11-07T01:43:06.000Z,"Replying to 
@jessezwick
 and 
@davideryuEven his concession manages to be terrible",,,,8
Nicole Donanian-Blandón,@nicole_d14,2020-11-07T01:37:52.000Z,"Replying to 
@HELLOIMJAG
 @digitalurn
 and 
@davideryuhe's pretty good at ghosting ppl",,,,6
Brittany Van Horne,@_brittanyv,2020-11-07T01:35:33.000Z,"True to the nasty campaign he ran down to the final minute, 
@davideryu
 declines to even say his opponent’s name in his concession.",,,,7
Violet Newstead,@VioletNewsteadd,2020-11-07T01:16:53.000Z,"Replying to 
@kystokes
 @davideryu
 and 
@nithyavramanWow.",,,,
Kyle Stokes,@kystokes,2020-11-07T01:13:56.000Z,"INBOX: 
@davideryu
 has conceded the LA City Council District 4 race to 
@nithyavraman",,1,9,10
Dan Crenshaw's Eyehole Fleshlight,@actualylaughing,2020-11-07T00:49:27.000Z,"Replying to 
@davideryuleave bitch",,,,2
bussit baby,@bussit_bbLA,2020-11-07T00:15:00.000Z,"LA’s real mayor, 
@_KennyUong_
 , has spoken. Hang it up 
@davideryuKenny Uong
@_KennyUong_
 · Nov 6
#FlashbackFriday to the Golden Dragon Parade of 2017, the first time I saw David Ryu. 

Please concede.
Show this thread",,,,18
Joshgiving,@JoshuaSmith1983,2020-11-06T22:29:16.000Z,"At this point it’s honestly offensive and sexist that 
@davideryu
 won’t concede his race. When will he acknowledge his loss?",,,1,9
Joan Didion's Pool,@Doan_Jidion,2020-11-06T22:03:37.000Z,"Replying to 
@davideryuHey, would you mind conceding and getting this show on the road?",,,,1
Miranda Cristofani,@miramade,2020-11-06T22:02:18.000Z,"@davideryu
 obvs hasn’t seen “The Queens Gambit” otherwise he would understand how to resign gracefully. #nithyaforthecity",,,,
Lena Olson,@LeynuhPawp,2020-11-06T21:36:31.000Z,"On a local level....would really love to see 
@nithyavraman
 get to publicly celebrate her win but 
@davideryu
 's unwillingness to concede is bumming me out.",💗 💜 💙,,,3
Lettwrs,@cantypelettwrs,2020-11-06T21:22:28.000Z,"Oy, David 
@davideryu
 @davidryu4u",,,,6
"Josh Ropiequet, CSA",@JRRnotTolkien,2020-11-06T20:54:16.000Z,".
@davideryu
 concede you coward",,,,1
Dewey,@SweetnibletsWho,2020-11-06T19:48:34.000Z,"Replying to 
@davideryuConcede",🌹,,,4
Joseph K.,@bittentongue,2020-11-06T19:40:58.000Z,"Vegas have odds yet on who concedes first: Tr*mp or 
@davideryu
?",,,,1
nora,@_nhasty,2020-11-06T19:26:02.000Z,"@davideryu
 concede bitch",,,,
Sophie Anderson,@sophanders,2020-11-06T19:21:38.000Z,"Your turn 
@davideryu
! Frank Stoltze
@StoltzeFrankly
 · Nov 6
BREAKING: .@LADAOffice Jackie Lacey concedes to @GeorgeGascon in DA’s race. @LAist @KPCC Gascon promises a more compassionate DA’s office under his leadership.",😉,,,2
Jonathan Rincon,@future_henchman,2020-11-06T19:21:27.000Z,"Replying to 
@davideryuDavid Ryu loves getting ratioed ",🥰,,,6
#generalstrike dandelion,@dandlionalchemy,2020-11-06T19:15:33.000Z,"can someone check on 
@davideryu
 ? #cd4",,,,1
Streets For All,@streetsforall,2020-11-06T19:05:22.000Z,"Hey 
@davideryu
 today would be a good day to concede. That’s what’s necessary when your opponent gets more votes than you!",,,5,35
#generalstrike dandelion,@dandlionalchemy,2020-11-06T18:45:19.000Z,"@davideryu
 ew david -GIF",,,,
Evan Ponter,@evanponter,2020-11-06T18:15:00.000Z,"Replying to 
@davideryuHey buddy time to concede.",,,,3
Collin Baker,@CollinBaker,2020-11-06T18:02:15.000Z,"Hahahahahahahahahah 
@davideryu
  hasn’t tweeted in like 3 whole days hahahahahahahahaha what a chickenshit",,,,6
#HOMESGUARANTEE Kendall Mayhew,@kmay,2020-11-06T17:57:14.000Z,"Replying to 
@AngryYuca
 @realDonaldTrump
 and 2 othersit is!",,,,2
Alex Fumero,@AngryYuca,2020-11-06T17:46:02.000Z,"It’s wild that we can’t tell if this is about 
@realDonaldTrump
 or 
@davideryu
 @davidryu4u
 lol#HOMESGUARANTEE Kendall Mayhew
@kmay
 · Nov 6
refusing to concede an election is very embarrassing!!",,1,2,15
