UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Bill Pitkin,@billpitkin,2020-11-19T01:13:34.000Z,"The 
@LACityCouncil
 should heed this research and reject the motion slated to be considered on Nov 24 that would expand punitive measures. For info on weighing in against this misguided policy, see 
https://servicesnotsweeps.com and https://docs.google.com/document/d/15ZTT6CKxS-Hl1NtLEuPt04Xx_ymJZrZijFDTfnVa91U/edit… #ServicesNotSweepsWVPA Tool Kit for Public Action
Public Action Toolkit ‪bit.ly/WVPAtoolkit‬ Written Public Comment Needed NOW til 11/23 Stand up to OPPOSE Councilmember Bob Blumenfield’s attempt to criminalize unhoused neighbors, submit public...
docs.google.com",,,,4
LifeinVenice,@VeniceLifein,2020-11-19T01:03:05.000Z,"Replying to 
@mikebonin@MikeBoninLA
 @mikebonin
 U keep touting support for lower cost faster housing but  proposals for such been sitting on your desk for YEARS! Why not use Dockweiler for RV safe parking? Why aren't u using county land for sanctioned encampments? 
@LACityCouncil
 @JoeBuscaino",,,,1
Alex Poltash,@apolti,2020-11-19T00:06:54.000Z,"Replying to 
@SullivanSaysSC
 @MayorOfLA
 and 5 othersYes, I watched it. Great insight. A big thank you to you on behalf of the CA taxpayers. A project which spends ~31% in soft costs is a failure. Unfortunately, the average CA tax payer doesn’t have a clue as to where their hard earned money is ending up.",,1,,1
SullivanSaysSoCal,@SullivanSaysSC,2020-11-18T23:58:51.000Z,"Replying to 
@apolti
 @MayorOfLA
 and 5 othersGood point, Alex--I raised it in this interview, which got close to 200,000 views.",,1,,1
Alex Poltash,@apolti,2020-11-18T23:56:28.000Z,"Replying to 
@SullivanSaysSC
 @MayorOfLA
 and 5 othersCheck out the proportion of money spent on soft costs...",,1,1,1
Susan shedlow,@SusanShedlow,2020-11-18T21:40:39.000Z,"@LACityCouncil
 I refuse to stay at home and lose my current job a second time

The only WAY TO STOP COVID 19 NOW IS TO PRESSURE PFIZER AND MODERNA TO SEEK EMERGENCY USE AUTHORIZATION FOR THE USE OF THEIR COVID 19 VACCINE ASAP.",,,,1
SullivanSaysSoCal,@SullivanSaysSC,2020-11-18T21:01:15.000Z,"Didn't take 
@kdeleon
 long to clam up on 
@LACityCouncil
's questionable spending, failure on homelessness. More in SullivanSays w/code:

1FREEMONTH

Get column for month free, then $5/month going forward or cancel. 
@boyleheightsbt
 @BHJesse
 @SpecNews1SoCalSubscribe - SullivanSaysSoCal
Thank you for considering a subscription to SullivanSaysSoCal columns. You can select from either a monthly or an annual plan. Cancel any time—just email us and let us know. Thank you.
sullivansayssocal.com",,,1,2
Gina Viola she/her,@GinaViolaPeake,2020-11-18T19:59:45.000Z,"What the hell 
@LACityCouncil
 SPECIAL MEETING - AD HOC ON COMPREHENSIVE JOB CREATION PLAN COMMITTEE can be heard by dialing in, however if you dial in to give comment it says the meeting has not yet started.",,,,7
TYCOONOFNEWS,@tycoonofnews,2020-11-18T19:45:36.000Z,"Replying to 
@mridleythomas
 @LACountyDCBA
 and 
@LACHelpCenterCome over to 
@LACityCouncil
 with your same bullshit 

Sorry for 
@JoeBuscaino
 have to sitting there looking at you doing nothing for poor blacks
@CD6Nury
 @MRodCD7
 @cmgilcedillo
 @HollyJMitchell
 @MitchOFarrell
 @PaulKrekorian
 @mhdcd8
 @CurrenDPriceJr
 

#CareerPoliticians ",,,,
LA2050,@LA2050,2020-11-18T19:45:09.000Z,"Excited to see how the new 
@LACityCouncil
 decides to move forward in the fight against homelessness.A newly constituted City Council could change L.A.’s approach to homelessness
The L.A. City Council's three newest members bring experience on homelessness
latimes.com",,,,2
